merchant_id,creation_date,name,street,state,city,country,contact_number
MERCHANT29902,2021-06-10 02:04:30,R R Donnelley,30923 North Motorway berg,North Dakota,Irvine,Cook Islands,852-871-5729
MERCHANT42943,2020-07-22 21:27:46,SAP,303 Lane fort,Kentucky,Riverside,Ethiopia,816-075-0045
MERCHANT25441,2023-07-18 18:33:26,Social Health Insights,1311 Divide furt,New Mexico,New Orleans,Timor-Leste,501-723-1003
MERCHANT32324,2023-10-01 20:57:21,Amazon Web Services,716 Estates mouth,South Dakota,Anaheim,Madagascar,125-787-1457
MERCHANT60838,2020-09-24 18:51:31,PublicEngines,553 West Canyon shire,Maryland,Fresno,Guyana,634-037-3590
MERCHANT5975,2020-12-15 11:07:59,Overture Technologies,82980 Village berg,Utah,Tampa,Syrian Arab Republic,939-218-7459
MERCHANT32912,2021-12-16 03:15:52,IMS Health,463 Plaza ville,West Virginia,Aurora,Viet Nam,564-924-1431
MERCHANT52873,2023-10-21 00:32:29,Votizen,22360 Springs view,South Carolina,Scottsdale,Armenia,731-136-6918
MERCHANT52249,2023-03-04 07:13:39,OnDeck,852 Garden land,Alabama,Las Vegas,Iceland,258-191-8038
MERCHANT39223,2020-05-17 09:11:04,T. Rowe Price,8097 Heights berg,South Carolina,Milwaukee,Iran (Islamic Republic of),899-293-2076
MERCHANT19338,2021-05-16 23:49:00,FlightView,5621 West Common ville,Florida,Louisville/Jefferson,Macao,324-686-5257
MERCHANT40899,2021-02-07 17:55:27,Robinson + Yu,5577 Terrace burgh,Arizona,Jacksonville,Mauritania,854-654-8124
MERCHANT54635,2023-04-06 00:12:34,Kaiser Permanante,1011 Cove shire,Vermont,San Jose,Brunei Darussalam,702-045-6808
MERCHANT10618,2021-11-08 10:51:39,SolarList,764 East Islands side,Montana,Glendale,United States Minor Outlying Islands,157-371-0954
MERCHANT50994,2023-09-26 13:45:49,Accela,256 Plaza stad,Georgia,Aurora,Saudi Arabia,362-814-1988
MERCHANT0563,2020-08-22 17:26:54,Tableau Software,351 Port Wells berg,Oklahoma,Birmingham,Costa Rica,640-102-5429
MERCHANT58156,2021-03-31 00:26:04,How's My Offer?,2446 West Oval ton,Maryland,Corpus Christi,Iceland,913-505-4378
MERCHANT61817,2020-03-08 13:02:12,Zillow,511 Port Forest town,Alabama,Irving,Jamaica,424-662-7570
MERCHANT61673,2020-10-17 12:57:31,Equilar,26589 Fork berg,Rhode Island,Chandler,Australia,196-572-8133
MERCHANT35684,2022-09-07 20:14:40,Avalara,7665 Road side,Rhode Island,Las Vegas,Sint Maarten (Dutch part),512-311-0423
MERCHANT52499,2023-06-09 18:19:50,Mercaris,563 Lodge berg,Maryland,Laredo,Lithuania,599-697-3382
MERCHANT64229,2021-05-17 17:53:35,AccuWeather,57498 Stravenue port,Minnesota,Irving,Tuvalu,659-534-1172
MERCHANT2517,2023-05-08 01:14:14,"Expert Health Data Programming, Inc.",2027 Village chester,New Mexico,Baltimore,Cook Islands,611-228-2982
MERCHANT14428,2021-01-17 08:07:45,Revelstone,815 Lake Motorway borough,Missouri,St. Louis,Samoa,071-425-4561
MERCHANT5170,2020-08-10 20:17:27,AutoGrid Systems,4874 Lake Run side,Pennsylvania,Birmingham,Uruguay,369-037-4864
MERCHANT3470,2023-06-09 12:02:26,"KidAdmit, Inc.",1974 New Inlet town,New York,Orlando,Faroe Islands,940-682-8427
MERCHANT9008,2020-06-02 07:46:33,Accenture,318 Ville borough,Wyoming,Philadelphia,Costa Rica,341-038-8200
MERCHANT24539,2023-02-21 08:59:43,Equilar,3833 Trace fort,Colorado,Albuquerque,Sudan,541-091-5528
MERCHANT49268,2022-01-29 08:02:13,TowerData,25107 South Heights furt,Tennessee,Minneapolis,Kyrgyzstan,124-993-5694
MERCHANT52258,2023-05-04 04:40:41,Fitch,657 Cliffs land,Florida,El Paso,Bolivia (Plurinational State of),466-096-3819
MERCHANT52736,2021-12-18 13:09:11,Compendia Bioscience Life Technologies,33042 Isle shire,North Dakota,Lubbock,Croatia,550-208-2991
MERCHANT1941,2021-09-07 06:24:33,Berkery Noyes MandASoft,789 Shoal view,Alabama,Tucson,Niue,069-443-5242
MERCHANT16222,2023-05-05 16:56:40,Seabourne,85371 North Dale chester,Montana,Austin,Cambodia,516-698-0570
MERCHANT49510,2020-07-19 15:21:55,BuildZoom,6838 Points ton,Colorado,Stockton,Guyana,680-472-5534
MERCHANT0598,2020-05-06 08:17:16,Porch,490 East Ridges fort,New Jersey,Glendale,Falkland Islands (Malvinas),997-682-7984
MERCHANT30023,2022-02-28 17:59:57,GenoSpace,9244 Fort view,North Dakota,Raleigh,Mayotte,207-502-6623
MERCHANT6562,2023-04-23 15:53:10,Roadify Transit,2301 Run chester,Oklahoma,Omaha,Guadeloupe,299-975-7906
MERCHANT3278,2021-02-06 16:14:30,LegiStorm,176 Green bury,Arkansas,San Jose,Benin,201-792-7586
MERCHANT16757,2020-05-09 03:21:10,Zurich Insurance (Risk Room),658 Square berg,Mississippi,Seattle,Cameroon,846-967-4174
MERCHANT48203,2023-03-18 06:22:59,RedLaser,58540 Street mouth,North Carolina,Columbus,Trinidad and Tobago,681-307-0863
MERCHANT26682,2023-05-06 07:17:08,Nielsen,417 Neck haven,Alaska,Portland,Andorra,019-969-7680
MERCHANT60329,2021-12-24 14:34:09,Dow Jones & Co.,194 South Tunnel bury,North Carolina,Nashville-Davidson,Greenland,990-326-0328
MERCHANT7311,2021-10-08 05:15:09,"Qado Energy, Inc.",2382 Crescent town,Tennessee,Wichita,Ãland Islands,913-427-7895
MERCHANT59562,2022-02-07 00:03:47,Department of Better Technology,98558 New Stream shire,Illinois,Irving,Germany,800-506-3370
MERCHANT1646,2021-03-02 05:36:51,CGI,7082 Grove view,Pennsylvania,Colorado Springs,CuraÃ§ao,628-209-1627
MERCHANT26815,2022-10-08 16:54:42,Google Maps,676 West Road mouth,Delaware,Minneapolis,Maldives,413-732-5878
MERCHANT27422,2023-03-29 00:58:21,Munetrix,942 Trace stad,Arkansas,Las Vegas,Chile,802-037-8284
MERCHANT34248,2023-11-25 23:48:01,WebFilings,79984 Locks fort,New Jersey,Orlando,Lao People's Democratic Republic,277-382-5244
MERCHANT20277,2022-10-25 12:22:29,Analytica,30019 New Shoal fort,Arkansas,San Antonio,Guadeloupe,098-877-9718
MERCHANT58490,2023-03-24 17:58:09,College Board,73693 Station burgh,Hawaii,Albuquerque,Central African Republic,194-264-0234
MERCHANT47476,2022-10-02 15:11:37,Chemical Abstracts Service,8540 Port Hollow mouth,Georgia,Baton Rouge,American Samoa,810-634-8728
MERCHANT27837,2020-08-27 00:30:10,PeerJ,8503 Lane ville,Arkansas,Memphis,Panama,526-137-6638
MERCHANT56805,2020-04-05 20:43:15,Genability,54764 South Vista haven,Michigan,Phoenix,French Guiana,440-069-2095
MERCHANT58669,2021-06-22 18:24:29,Acxiom,918 Drive chester,New Hampshire,Baltimore,Russian Federation,203-560-4496
MERCHANT34728,2021-11-13 02:37:53,48 Factoring Inc.,192 North Isle ville,Maryland,Las Vegas,Croatia,837-010-8605
MERCHANT62037,2021-11-08 03:39:00,Stevens Worldwide Van Lines,68353 Coves furt,Idaho,Aurora,Ecuador,369-947-5996
MERCHANT56538,2021-07-14 08:11:02,Keychain Logistics Corp.,1203 Forest port,New Mexico,Albuquerque,Uruguay,409-825-6004
MERCHANT4726,2022-04-21 18:43:30,GovTribe,1567 Bridge furt,South Dakota,Omaha,Belarus,023-735-6557
MERCHANT17262,2022-12-29 14:56:08,Lucid,6642 Lake Turnpike side,Louisiana,Orlando,Italy,729-715-7127
MERCHANT52718,2021-04-07 17:05:24,Remi,477 Ford side,Missouri,Norfolk,"Saint Helena, Ascension and Tristan da Cunha",291-379-9752
MERCHANT65186,2021-11-18 05:17:33,Food+Tech Connect,25072 West Wells shire,Nebraska,Memphis,Kenya,802-058-2115
MERCHANT23592,2023-06-16 06:56:22,Dow Jones & Co.,470 Ville burgh,Nevada,St. Petersburg,Samoa,334-477-4974
MERCHANT7274,2022-06-11 13:55:45,karmadata,54368 Lake Island town,Florida,Seattle,Netherlands,326-305-8069
MERCHANT41375,2022-09-09 20:59:51,Suddath,93181 West Court berg,Oregon,Aurora,Palau,874-846-7342
MERCHANT32397,2021-04-13 08:32:56,Overture Technologies,937 Key shire,Maine,New Orleans,Falkland Islands (Malvinas),190-226-0083
MERCHANT24056,2021-04-29 03:02:37,Center for Responsive Politics,8893 South Mountain borough,Nebraska,Baton Rouge,Zimbabwe,911-764-8738
MERCHANT60892,2022-12-27 15:52:39,Accenture,24760 Spurs bury,Maine,Baton Rouge,"Korea, Republic of",376-151-4869
MERCHANT8390,2021-09-07 16:37:33,CityScan,122 Brooks mouth,Indiana,Minneapolis,New Zealand,383-646-7517
MERCHANT54723,2020-02-08 23:46:53,Enervee Corporation,63485 Port Cliffs town,Delaware,Minneapolis,Timor-Leste,444-492-5255
MERCHANT11703,2021-11-13 15:19:38,Optensity,10831 Ferry side,Michigan,Riverside,Mozambique,513-244-6124
MERCHANT60131,2023-07-11 11:39:42,Liberty Mutual Insurance Cos.,113 Lane land,Pennsylvania,Tulsa,Niger,662-338-5181
MERCHANT24629,2023-10-30 09:26:19,Food+Tech Connect,891 North Way mouth,Arkansas,Milwaukee,Tajikistan,405-872-4443
MERCHANT36096,2020-03-06 13:24:25,REI Systems,658 Ranch mouth,New York,Fresno,"Taiwan, Province of China",676-111-1420
MERCHANT19671,2020-08-28 00:21:54,Innovest Systems,49941 East Manor chester,New York,Lincoln,Algeria,665-979-5625
MERCHANT45118,2020-09-22 21:17:16,"VisualDoD, LLC",48881 Heights port,New York,Dallas,Malawi,730-024-5583
MERCHANT3830,2020-08-30 07:59:56,Appallicious,193 South Throughway mouth,Indiana,Honolulu,Estonia,825-622-9457
MERCHANT53419,2022-03-06 01:39:37,The Bridgespan Group,7667 New Mill ton,Illinois,Plano,Virgin Islands (U.S.),124-248-2146
MERCHANT20617,2020-04-04 05:34:29,Climate Corporation,39150 North Island town,Maine,Lubbock,Burundi,499-853-3426
MERCHANT51414,2020-07-20 15:54:24,Capital Cube,8253 West Points haven,Oklahoma,Houston,Heard Island and McDonald Islands,585-162-8439
MERCHANT1688,2020-05-31 08:58:39,iTriage,807 Lake Lodge land,Minnesota,Madison,Heard Island and McDonald Islands,639-028-6992
MERCHANT50089,2020-01-11 00:12:39,SpotHero.com,184 Cove berg,Louisiana,Garland,Benin,344-513-9927
MERCHANT35316,2021-07-09 15:52:17,LoseIt.com,147 North Ford haven,Nevada,Pittsburgh,Poland,265-398-6891
MERCHANT34818,2023-09-06 12:55:39,StockSmart,6259 Union fort,Arkansas,Chicago,Hong Kong,694-108-1549
MERCHANT60526,2020-08-21 14:40:12,How's My Offer?,72696 Burg ton,Kentucky,Aurora,Heard Island and McDonald Islands,979-026-8238
MERCHANT43832,2022-09-27 02:36:44,Recargo,475 West Points ton,New Jersey,Fremont,Croatia,671-609-7778
MERCHANT4421,2020-02-06 23:04:29,"Loqate, Inc.",103 Union town,West Virginia,St. Petersburg,Panama,926-996-0722
MERCHANT37520,2023-10-27 02:13:47,Esri,99379 Highway town,Nebraska,Durham,"Congo, Democratic Republic of the",564-391-5358
MERCHANT19285,2021-07-03 00:22:05,PatientsLikeMe,9291 Ways stad,New Jersey,Oklahoma,Timor-Leste,451-762-3080
MERCHANT13276,2022-06-10 01:58:02,Avalara,9528 Shoal view,Arkansas,Kansas,Svalbard and Jan Mayen,868-675-6848
MERCHANT8227,2023-11-25 18:49:22,Azavea,764 Springs stad,Montana,Atlanta,Tunisia,948-092-1780
MERCHANT10790,2023-03-08 03:19:35,Persint,1839 Lodge chester,New York,Irving,France,126-356-1209
MERCHANT9372,2021-01-31 13:31:19,Xatori,3249 Viaduct ville,Massachusetts,Atlanta,Fiji,305-728-4832
MERCHANT29661,2020-05-23 20:07:02,LegiStorm,8600 Port Squares land,Kansas,Birmingham,Timor-Leste,655-519-0246
MERCHANT47555,2020-12-20 23:13:22,Navico,2126 Freeway haven,Arizona,Tucson,Saudi Arabia,439-243-4316
MERCHANT5417,2022-02-06 16:43:26,Stevens Worldwide Van Lines,195 Village mouth,Virginia,Houston,Georgia,731-522-5237
MERCHANT63645,2022-08-01 19:42:35,Microsoft Windows Azure Marketplace,221 Port Mall ville,Missouri,Chicago,Nigeria,917-488-6940
MERCHANT47669,2020-09-28 17:11:20,FlightStats,6725 Fork side,Connecticut,Charlotte,Burkina Faso,681-040-8055
MERCHANT51176,2021-02-23 10:09:30,Palantir Technologies,420 South Forks ton,Oklahoma,Boston,Guinea,600-828-2181
MERCHANT24545,2022-12-01 09:25:43,Reed Elsevier,984 Shoals borough,South Dakota,Albuquerque,Tonga,350-162-6054
MERCHANT30597,2022-06-07 14:43:25,Graebel Van Lines,81961 Roads bury,New Hampshire,Hialeah,Central African Republic,125-023-9412
MERCHANT29704,2021-02-19 18:44:54,Certara,970 West Land mouth,Oklahoma,Henderson,Cyprus,400-976-2038
MERCHANT16188,2020-04-29 06:27:13,WebMD,5017 Passage haven,New Jersey,Mesa,Malta,157-531-1510
MERCHANT37315,2020-10-30 22:46:08,Recargo,71258 Courts ville,Florida,New Orleans,Saint BarthÃ©lemy,853-486-8228
MERCHANT42214,2020-08-20 04:06:44,Archimedes Inc.,70122 Square mouth,Delaware,Oakland,Montserrat,722-124-9158
MERCHANT10745,2021-04-13 10:09:27,Tendril,28168 Hollow view,Hawaii,Milwaukee,Norway,744-743-1350
MERCHANT27223,2023-05-24 08:10:20,YourMapper,3800 Lake Rue haven,Hawaii,Lincoln,Namibia,090-476-2152
MERCHANT12763,2023-01-31 04:10:06,OnStar,473 Lake furt,Oregon,Omaha,Estonia,098-820-9761
MERCHANT7989,2022-07-02 05:31:46,"Lumesis, Inc.",430 West Stream fort,Iowa,Santa Ana,Ghana,910-063-7804
MERCHANT19647,2021-03-08 06:54:43,Stamen Design,599 Square burgh,Ohio,Toledo,Greece,929-124-1430
MERCHANT23578,2022-11-21 02:47:35,How's My Offer?,503 Common furt,Texas,Albuquerque,South Sudan,125-558-7820
